"x", "y", "z", "gx", "gy", "gz", "ts"
-0.10577899928097613, 0.09046228814832866, -0.03413783192336559, 0.0378583137512207, -0.10564414825439453, -9.83777462158203, 1570121742125
-0.10577899928097613, 0.09046228814832866, -0.03413783192336559, 0.0378583137512207, -0.10564414825439453, -9.83777462158203, 1570121742141
-0.0036400781019823624, 0.00008052702345885336, -0.05857786117494106, 0.037409400939941405, -0.09202711717910132, -9.864709390258788, 1570121742275
-0.007264122951193712, -0.016128767301049084, -0.09015022652447223, 0.03366846084594726, -0.10818797838515601, -9.896282924652098, 1570121742292
0.0041693033075891435, -0.014200201258109882, -0.08505962538719176, 0.04474164809074718, -0.10609306106567382, -9.891195246124267, 1570121742308
-0.006752597799059003, 0.009276946911215781, -0.060257777085900306, 0.03800795135498047, -0.08469487459487281, -9.866355403900146, 1570121742325
-0.007297851690859534, 0.015256085252901539, -0.034652795708179474, 0.03531447448730469, -0.07796119155883789, -9.840767373657226, 1570121742342
-0.004640482749603689, 0.004358222608966753, -0.07774491845965385, 0.03531447905388195, -0.08963293378525412, -9.88386300354004, 1570121742358
0.0005961529619758949, -0.007375104478420689, -0.049645782178640366, 0.04085106125983875, -0.10459669416123069, -9.855731134033203, 1570121742375
0.0057431102292612194, 0.0016788747313432393, -0.06895838541388512, 0.04668692780646961, -0.09621697008437477, -9.875034384918212, 1570121742392
-0.008625917390268295, 0.023026637056004256, -0.031082536005973813, 0.032172084808349606, -0.07317277910537086, -9.837176071166992, 1570121742408
0.001944224836374633, 0.017024821091629564, -0.05694178440570831, 0.04085106582641601, -0.0770633659362793, -9.863063376617431, 1570121742425
0.0035460614092880857, 0.013240708576189354, -0.09524316574931144, 0.04219780426025391, -0.08035539321899414, -9.901370603179931, 1570121742441
0.0035388599169440564, 0.000631822496978566, -0.03734101187884807, 0.04234744186401367, -0.09367313995361327, -9.843460850524902, 1570121742458
0.003990909966803156, 0.0035507695504464207, -0.08088380100727081, 0.043245267486572266, -0.09038111267089843, -9.887005393218994, 1570121742475
0.003746493051946163, 0.003078156203171238, -0.048100306302309034, 0.042646717071533204, -0.08963291551894507, -9.854234757995606, 1570121742492
0.0054755955666070805, 0.004315543377865105, -0.06664426325261592, 0.044292730712890624, -0.08723871385878883, -9.872789820861815, 1570121742508
