clap2(12), -11,58,-8,-12,53,-6,0,61,-4,13,61,1,22,65,6,27,67,9,40,50,27,59,15,75,-27,-111,-21,27,34,5,-16,59,-7,-4,41,-6
clap2(13), -49,48,-4,-35,61,0,-24,64,6,-10,68,16,7,66,38,23,62,86,-36,125,25,15,31,27,75,13,108,25,38,39,21,35,41,6,55,38,-3,56,44
clap2(17), -58,24,-11,-53,45,-11,-40,72,0,-24,88,18,-12,80,36,6,43,49,17,23,89,-61,-127,-6,29,27,-16,72,21,76,11,12,-9,-11,29,2,-40,75,25,-98,41,2,-96,67,-9,-58,45,1,-39,43,-4
clap2(15), -58,45,1,-39,43,-4,-61,45,2,-70,41,-7,-67,28,-9,-59,18,-10,-62,35,-1,-32,70,19,5,35,67,-41,43,101,-70,51,-2,41,29,74,-6,57,108,-22,31,9,-16,33,30
clap2(12), -61,38,0,-60,40,3,-51,57,7,-37,78,21,-13,64,22,-2,55,19,9,50,11,35,38,30,24,38,83,17,65,10,53,36,19,32,37,-4
clap2(16), -45,53,-2,-38,57,7,-24,63,22,-2,52,46,15,47,94,-32,62,84,-49,51,-10,67,-3,78,-86,126,-40,-25,35,-9,-27,44,32,-39,60,19,-63,61,7,-82,54,0,-58,41,1,-45,39,0
clap2(14), -28,76,7,-4,66,20,25,48,45,36,40,81,33,93,18,42,41,26,65,9,100,27,28,13,0,34,16,-19,56,36,-34,64,26,-52,60,5,-76,63,2,-64,52,2
clap2(15), -61,42,4,-50,52,13,-34,65,29,-1,54,49,-14,63,116,-8,45,34,32,42,12,52,35,91,-1,45,0,0,37,0,-18,63,40,-31,62,28,-44,64,21,-52,55,20,-51,56,18
clap2(14), -51,56,18,-46,54,16,-46,66,13,-43,84,11,-38,110,22,-29,107,30,-19,41,28,1,-34,22,14,-36,18,31,54,-57,80,34,-4,17,47,61,30,19,-25,30,32,-5
clap2(15), 21,78,23,34,76,41,40,76,44,36,59,16,34,34,0,27,-4,41,-32,51,-43,42,44,-46,69,10,0,-19,57,-18,24,32,-44,31,37,-23,27,33,-18,28,52,-15,33,62,-11
clap2(15), 28,52,-15,33,62,-11,34,70,-10,31,70,-8,31,73,-6,33,70,-5,35,38,8,53,0,39,63,-26,77,66,-20,5,74,18,8,68,-18,95,48,18,0,61,14,9,40,17,4
clap2(15), 61,14,9,40,17,4,20,23,5,0,44,12,-18,73,25,-41,82,42,-44,73,46,-32,44,55,-47,26,100,-21,38,122,-49,24,34,-5,0,103,-49,47,31,-36,31,36,-48,40,28
clap2(13), -36,31,36,-48,40,28,-48,43,36,-42,45,42,-36,45,43,-34,42,46,-23,27,72,-59,27,104,-16,44,87,-17,18,38,-5,27,116,-34,41,42,-18,39,50
clap2(13), 4,53,54,22,29,64,24,3,109,8,96,64,25,32,5,-16,63,-10,15,28,-10,0,46,32,-12,72,37,-14,79,32,-9,73,37,-6,63,33,-7,56,36
clap2(14), -11,58,35,-9,61,31,-1,68,36,11,67,41,31,42,62,20,39,88,31,86,34,36,30,25,16,88,33,10,45,0,19,55,43,9,62,33,4,53,44,1,57,43
clap2(14), 5,66,21,16,51,16,29,30,20,61,-1,57,31,74,81,38,67,12,74,24,70,46,41,49,19,40,3,-1,54,18,-9,56,36,-21,63,23,-30,65,25,-43,65,21
nothing(12), -67,49,-23,-76,41,0,-57,34,14,-38,43,16,-52,36,39,-65,46,27,-101,65,14,119,-56,-45,-46,-49,12,-60,28,-16,-64,35,0,-53,50,0
nothing(19), -62,26,-12,-62,36,-8,-64,57,5,-51,77,30,-20,64,56,11,28,113,-32,35,95,-24,112,23,-25,-6,0,-33,20,20,-126,103,9,-99,2,-27,-64,57,-38,-56,51,-5,-64,44,7,-59,46,4,-69,47,13,-73,45,28,-71,43,32
nothing(13), -60,26,-10,-62,28,2,-61,32,16,-50,23,28,-84,31,26,-67,28,16,-81,23,8,-35,8,-4,-35,-4,-7,33,61,20,-66,33,5,1,-3,5,2,16,0
nothing(14), 1,-3,5,2,16,0,-32,4,17,99,70,76,-22,80,13,-45,-27,-55,-62,48,-9,-78,48,10,-53,7,13,-60,41,-3,-62,38,1,-57,15,-4,-48,17,-5,-61,29,0
nothing(20), -38,23,6,-32,3,7,-66,7,21,-59,51,-10,-126,9,6,-97,36,-9,-27,28,-9,-1,25,-12,7,14,-9,39,73,46,-123,34,2,-65,20,12,-23,-38,7,-20,-28,-16,-109,32,17,94,56,1,-92,31,22,-61,43,23,-50,25,28,-39,38,21
nothing(11), -50,25,28,-39,38,21,-58,49,14,-82,56,1,-57,34,-18,-93,18,-6,-63,24,5,-62,27,5,-54,13,2,-54,9,-6,-71,16,-6
nothing(13), -54,9,-6,-71,16,-6,-71,24,0,-89,26,16,-44,34,6,-28,21,6,-50,38,3,-100,64,-20,-62,-56,-13,-100,24,-7,-66,32,1,-58,10,2,-44,9,1
nothing(19), -44,9,1,-44,8,3,-87,24,10,-104,53,5,-65,30,7,-36,36,0,-42,32,5,-72,72,-15,-97,19,-4,-68,0,-7,-85,28,-2,-74,29,11,-57,54,12,-20,65,19,21,51,40,0,41,-13,-3,40,-80,15,55,-12,20,45,-15
nothing(14), 15,55,-12,20,45,-15,17,18,3,-8,31,-3,-52,-78,43,12,66,18,-8,-14,10,-40,8,32,-78,82,90,-32,50,44,-29,58,49,-37,63,66,-24,47,60,-10,38,47
nothing(16), -3,43,41,4,25,29,-4,51,37,-15,88,-2,-10,94,6,0,51,10,8,43,2,-9,4,-12,-80,24,-19,-73,58,-2,-65,16,-4,-29,97,33,-35,50,25,-51,32,37,-53,29,42,-44,27,35
nothing(18), -53,29,42,-44,27,35,-47,44,38,-51,29,40,-74,-4,6,-94,-10,-43,-67,20,-2,-89,18,10,-63,60,47,-28,58,59,-7,35,55,9,-4,33,7,-13,19,-14,28,76,-23,54,113,14,76,43,-1,36,15,-17,22,3
