subset,label,person,id,acceleration,time,dimension
train,swiperight,james,3,11.0,0.8,y
train,swiperight,james,3,-46.0,0.8,z
train,swiperight,james,3,-26.0,0.9,x
train,swiperight,james,3,-7.0,0.9,y
train,swiperight,james,3,-22.0,0.9,z
train,swiperight,james,3,-24.0,1.0,x
train,swiperight,james,3,-7.0,1.0,y
train,swiperight,james,3,-21.0,1.0,z
train,swiperight,james,3,-23.0,1.1,x
train,swiperight,james,3,-1.0,1.1,y
train,swiperight,james,3,-20.0,1.1,z
train,swiperight,james,4,-8.0,0.0,x
train,swiperight,james,4,-20.0,0.0,y
train,swiperight,james,4,-28.0,0.0,z
train,swiperight,james,4,-11.0,0.1,x
train,swiperight,james,4,-22.0,0.1,y
train,swiperight,james,4,-25.0,0.1,z
train,swiperight,james,4,-14.0,0.2,x
train,swiperight,james,4,-23.0,0.2,y
train,swiperight,james,4,-21.0,0.2,z
train,swiperight,james,4,-18.0,0.3,x
train,swiperight,james,4,-22.0,0.3,y
train,swiperight,james,4,-16.0,0.3,z
train,swiperight,james,4,-21.0,0.4,x
train,swiperight,james,4,-23.0,0.4,y
train,swiperight,james,4,-8.0,0.4,z
train,swiperight,james,4,-25.0,0.5,x
train,swiperight,james,4,-28.0,0.5,y
train,swiperight,james,4,3.0,0.5,z
train,swiperight,james,4,-17.0,0.6,x
train,swiperight,james,4,-49.0,0.6,y
train,swiperight,james,4,-8.0,0.6,z
train,swiperight,james,4,31.0,0.7,x
train,swiperight,james,4,51.0,0.7,y
train,swiperight,james,4,-45.0,0.7,z
train,swiperight,james,4,-17.0,0.8,x
train,swiperight,james,4,10.0,0.8,y
train,swiperight,james,4,-33.0,0.8,z
train,swiperight,james,4,-20.0,0.9,x
train,swiperight,james,4,0.0,0.9,y
train,swiperight,james,4,-24.0,0.9,z
train,swiperight,james,4,-17.0,1.0,x
train,swiperight,james,4,3.0,1.0,y
train,swiperight,james,4,-26.0,1.0,z
train,swiperight,james,5,-13.0,0.0,x
train,swiperight,james,5,-25.0,0.0,y
train,swiperight,james,5,-22.0,0.0,z
train,swiperight,james,5,-15.0,0.1,x
train,swiperight,james,5,-26.0,0.1,y
train,swiperight,james,5,-14.0,0.1,z
train,swiperight,james,5,-16.0,0.2,x
train,swiperight,james,5,-37.0,0.2,y
train,swiperight,james,5,-5.0,0.2,z
train,swiperight,james,5,-12.0,0.3,x
train,swiperight,james,5,-45.0,0.3,y
train,swiperight,james,5,1.0,0.3,z
train,swiperight,james,5,-9.0,0.4,x
train,swiperight,james,5,-30.0,0.4,y
train,swiperight,james,5,-9.0,0.4,z
train,swiperight,james,5,-3.0,0.5,x
train,swiperight,james,5,73.0,0.5,y
train,swiperight,james,5,-23.0,0.5,z
train,swiperight,james,5,-21.0,0.6,x
train,swiperight,james,5,7.0,0.6,y
train,swiperight,james,5,-25.0,0.6,z
train,swiperight,james,5,-22.0,0.7,x
train,swiperight,james,5,4.0,0.7,y
train,swiperight,james,5,-21.0,0.7,z
train,swiperight,james,5,-22.0,0.8,x
train,swiperight,james,5,9.0,0.8,y
train,swiperight,james,5,-20.0,0.8,z
train,swiperight,james,5,-21.0,0.9,x
train,swiperight,james,5,8.0,0.9,y
train,swiperight,james,5,-21.0,0.9,z
train,swiperight,james,5,-21.0,1.0,x
train,swiperight,james,5,8.0,1.0,y
train,swiperight,james,5,-22.0,1.0,z
train,swiperight,james,6,-14.0,0.0,x
train,swiperight,james,6,-15.0,0.0,y
train,swiperight,james,6,-23.0,0.0,z
train,swiperight,james,6,-12.0,0.1,x
train,swiperight,james,6,-21.0,0.1,y
train,swiperight,james,6,-21.0,0.1,z
train,swiperight,james,6,-11.0,0.2,x
train,swiperight,james,6,-30.0,0.2,y
train,swiperight,james,6,-13.0,0.2,z
train,swiperight,james,6,-12.0,0.3,x
train,swiperight,james,6,-43.0,0.3,y
train,swiperight,james,6,-4.0,0.3,z
train,swiperight,james,6,-16.0,0.4,x
train,swiperight,james,6,-30.0,0.4,y
train,swiperight,james,6,-4.0,0.4,z
train,swiperight,james,6,-15.0,0.5,x
train,swiperight,james,6,-29.0,0.5,y
train,swiperight,james,6,-6.0,0.5,z
train,swiperight,james,6,-26.0,0.6,x
train,swiperight,james,6,-10.0,0.6,y
train,swiperight,james,6,7.0,0.6,z
train,swiperight,james,6,-15.0,0.7,x
train,swiperight,james,6,7.0,0.7,y
train,swiperight,james,6,-43.0,0.7,z
train,swiperight,james,6,-22.0,0.8,x
train,swiperight,james,6,-10.0,0.8,y
train,swiperight,james,6,-23.0,0.8,z
train,swiperight,james,6,-24.0,0.9,x
train,swiperight,james,6,-6.0,0.9,y
train,swiperight,james,6,-17.0,0.9,z
train,swiperight,james,6,-23.0,1.0,x
train,swiperight,james,6,-6.0,1.0,y
train,swiperight,james,6,-21.0,1.0,z
train,swiperight,james,7,0.0,0.0,x
train,swiperight,james,7,-25.0,0.0,y
train,swiperight,james,7,-24.0,0.0,z
train,swiperight,james,7,0.0,0.1,x
train,swiperight,james,7,-40.0,0.1,y
train,swiperight,james,7,-26.0,0.1,z
train,swiperight,james,7,-5.0,0.2,x
train,swiperight,james,7,-36.0,0.2,y
train,swiperight,james,7,-21.0,0.2,z
train,swiperight,james,7,0.0,0.3,x
